dropout,weight_decay,best_epoch,best_val_loss,val_acc_5m,val_acc_15m,val_acc_30m,val_acc_overall,test_acc_5m,test_acc_15m,test_acc_30m,test_acc_overall,train_losses,val_losses
0.3,1e-06,1,0.6919415271873758,0.5151856703323484,0.5298991683675024,0.5337070094739087,0.5262639493912531,0.5094738324998239,0.5206733817003593,0.5225751919419596,0.5175741353807143,"[0.6991506153629424, 0.6931519569564497, 0.6920905763136711, 0.6916228714574877, 0.6911631591227353, 0.6910552842968204]","[0.6919415271873758, 0.6922969443205341, 0.692441657507391, 0.6922181755432345, 0.6923110710843545, 0.6926925596290405]"
0.3,5e-06,1,0.6917989046824136,0.5171352849788284,0.5308130502330399,0.5379413287842325,0.5286298879987003,0.5126082975276467,0.5189828837078256,0.5196168204550257,0.5170693338968326,"[0.6996906950674973, 0.6940700158116729, 0.6926282261655471, 0.6917510102783171, 0.6914651557178707, 0.691028430459829]","[0.6917989046824136, 0.6917918164360318, 0.6926858311494458, 0.6926588341400822, 0.6924527651244586, 0.6927759534758422]"
0.3,1e-05,2,0.6918598393548957,0.5111950528528345,0.5273402991439973,0.5310872147927012,0.5232075222631777,0.5121856730295132,0.5181376347115588,0.5183489469606255,0.5162240849005658,"[0.6989032667411377, 0.6932551485826677, 0.6922662133635143, 0.6917320384042903, 0.6912276645391495, 0.6908570934778928, 0.6905971324882801]","[0.6921566656379045, 0.6918598393548957, 0.6929117911648611, 0.6922085559306036, 0.6930775117996888, 0.6929598267472702, 0.6930145406790568]"
0.3,5e-05,2,0.6919369860259325,0.5125354129222895,0.5259085508879885,0.535808937764645,0.524750967191641,0.5076424596745791,0.5197929139959147,0.5214129745720927,0.5162827827475288,"[0.6983537325127684, 0.693173664122256, 0.692438667922688, 0.6916782716189327, 0.6911575564455315, 0.6909426535289317, 0.6907038549295382]","[0.6923946252665069, 0.6919369860259325, 0.6923226303291222, 0.6928532311982952, 0.6926074546711907, 0.6932297906129857, 0.6928432561638956]"
0.3,0.0001,1,0.6922915391904275,0.5044018643190057,0.524872818107046,0.538002254241935,0.5224256455559956,0.5056349933084454,0.519581601746848,0.5193702894977812,0.5148622948510249,"[0.6989994939154597, 0.693573908998869, 0.6923894991137783, 0.6916747107126485, 0.6913505944088011, 0.6910233612116728]","[0.6922915391904275, 0.6925078923068844, 0.6923494171234875, 0.6926187101314545, 0.6926050090523247, 0.6927674512646435]"
0.4,1e-06,2,0.6916689311121306,0.5185670332348372,0.5259085508879885,0.5376062387668687,0.5273606076298981,0.5094386137916461,0.5201451010776925,0.5160245122208917,0.5152027423634101,"[0.7006402089464002, 0.6937843595537556, 0.6925218354926747, 0.6918748509507419, 0.6916778360278292, 0.6912040067612963, 0.6911392150370432]","[0.6918300008778888, 0.6916689311121306, 0.6918897037767276, 0.6920886350439915, 0.6924635455342328, 0.6925535481665425, 0.6927583328615822]"
0.4,5e-06,4,0.6915544942323233,0.5164651049441009,0.5273402991439973,0.5345295031528924,0.5261116357469969,0.5090512080016905,0.5179967598788476,0.5185602592096922,0.5152027423634101,"[0.7008161955152662, 0.6939072976522497, 0.6924790645911013, 0.6920336380228652, 0.6916119253138329, 0.6914063674536202, 0.6910183872177708, 0.6910506457934118, 0.6908217545082976]","[0.6919081914972154, 0.6915966978124541, 0.6920594144819656, 0.6915544942323233, 0.6924635046296898, 0.6919900266009397, 0.6932714432927342, 0.6924191196669967, 0.6930546352820969]"
0.4,1e-05,2,0.6920627560061963,0.5171657477076796,0.5272793736862948,0.5332805312699912,0.5259085508879885,0.5064450235965344,0.520391632034937,0.5203564133267592,0.5157310229860769,"[0.7010573160731502, 0.694014067009954, 0.6925057953231211, 0.6918754763069062, 0.6915709523346444, 0.6913242847310307, 0.6911597257555396]","[0.6926444850776461, 0.6920627560061963, 0.6922402705549087, 0.6922900725315966, 0.692455800926812, 0.6923047499470457, 0.6920685144827035]"
0.4,5e-05,1,0.6917167805124129,0.5140585493648521,0.5285892710268986,0.5393730770402413,0.5273402991439973,0.5060928365147567,0.517926322462492,0.5219060364865816,0.5153083984879434,"[0.7008572759768467, 0.6937685784054399, 0.6924123092291955, 0.6918437843541989, 0.6917187080062117, 0.6912600716178561]","[0.6917167805124129, 0.6918109501207452, 0.6919575778864324, 0.6921420521848284, 0.6922811393465145, 0.6919389813825201]"
0.4,0.0001,3,0.6916919176532839,0.5196027660157797,0.5268833582112286,0.534712279526,0.527066134584336,0.5126435162358245,0.5229273790237374,0.5190885398323589,0.5182198116973069,"[0.7007165090257073, 0.6935663541757876, 0.6925627397899867, 0.6918185778133402, 0.6915624207261722, 0.6912330165931043, 0.6910838518819216, 0.6910327324636217]","[0.6923212154800494, 0.6919210200737973, 0.6916919176532839, 0.6921034211883936, 0.6918179790493659, 0.692338325600963, 0.692546759731869, 0.6923342984807834]"
0.5,1e-06,2,0.6913991699134646,0.5152161330611996,0.526822432753526,0.5369360587321412,0.5263248748489556,0.5108825808269353,0.5184546030851588,0.5156371064309361,0.5149914301143435,"[0.7018571212237856, 0.6932543513365041, 0.6925702132505207, 0.6919552410313349, 0.6917986205292243, 0.6915351147110971, 0.69144581131736]","[0.6918274775825155, 0.6913991699134646, 0.6915177395629429, 0.6915066218377612, 0.6917380815586978, 0.6918039219783314, 0.691921336769887]"
0.5,5e-06,3,0.6913347587397486,0.520364334237061,0.5283455691960885,0.536052639595455,0.5282541810095348,0.5098612382897796,0.5213073184475594,0.5166232302599141,0.515930595665751,"[0.7008476198610029, 0.6932603825896614, 0.6924062877838764, 0.6920877131706348, 0.6916930470888081, 0.691384127724424, 0.6913625189814898, 0.6913386638349555]","[0.691722679676363, 0.6914287035510343, 0.6913347587397486, 0.6918256819660368, 0.6918836225668613, 0.6922074189956543, 0.6919475289413292, 0.6919848283031448]"
0.5,1e-05,2,0.691418708343984,0.5177750022847046,0.5274621500594023,0.5378194778688274,0.5276855434043115,0.5086638022117349,0.5162358244699584,0.512890047193069,0.5125965579582541,"[0.7031827822041238, 0.6937389126147991, 0.6927133751650031, 0.6922667518753689, 0.6918399124438069, 0.6916550536108091, 0.691396919946727]","[0.6921355094116416, 0.691418708343984, 0.6915802118979919, 0.691738339997407, 0.6921163684004975, 0.6919913536181824, 0.6920733860507392]"
0.5,5e-05,1,0.691263533758486,0.5166478813172084,0.5293203765193286,0.5374234623937613,0.5277972400767661,0.5055997746002676,0.5197929139959147,0.5158484186800029,0.5137470357587284,"[0.7016644125085308, 0.693150923269658, 0.6922709407573736, 0.6919189419195637, 0.691824698694639, 0.6915608432773438]","[0.691263533758486, 0.6912848632988668, 0.6914589371378206, 0.6914695192491678, 0.69189653311776, 0.6920156983034688]"
0.5,0.0001,1,0.6913225511231104,0.5169220458768696,0.5291376001462211,0.5371492978340999,0.5277363146190636,0.5053884623512009,0.5194759456223146,0.5164471367190252,0.5137705148975136,"[0.7017716666377793, 0.6932814103764918, 0.6924565383875766, 0.6919865033405178, 0.6917038583660559, 0.6915659880294693]","[0.6913225511231104, 0.691352417311638, 0.691548427535508, 0.6915811696903615, 0.6920580859485965, 0.6921208994356697]"
