feature,target_5m,target_15m,target_30m
ema_diff,-0.002232305233980152,0.010529102905280068,0.0086794264074929
return_5,-0.017091776212692276,-0.006637204351415156,0.003839421345201457
realized_vol_10,-0.001225176381225845,0.0017986359035118938,-0.009868023200866069
volume_norm,-0.007416480766912944,-0.0048431095475957074,-0.005991231013313316
volume_acceleration,0.000246551662741815,-0.003885187637168495,7.934280578481389e-05
bid_ask_spread_proxy,-0.0043961178937808555,0.0049596039694384635,0.006046265472500403
NVDA_return_5,-0.011149379191837052,-0.002573884561422222,0.009995052491435568
AAPL_return_5,-0.017119256193792325,-0.0069829436680489704,0.00021903621003079693
MSFT_return_5,-0.005695106947054819,0.0015255359523866636,0.00296307090337201
GOOGL_return_5,-0.007034616531434394,-8.046088215094983e-05,0.00646394457321177
AMZN_return_5,-0.003731762323344123,0.0010951676694780118,0.002322740377261582
tech_unanimity,-0.00331699271454209,-0.003101204419615977,-0.003683642322094109
momentum_spread_5,-0.001906193352745851,0.0006334506922365555,-0.005655225901269609
max_divergence,-0.0033444702679142494,0.0002945953839667983,-0.006039748513199973
relative_strength,-0.0013784579954114289,-0.006222591334555094,-0.0069234458899172
high_vol_regime,0.005518009610706528,0.011151429080908368,0.013136607151978633
low_corr_regime,0.00548774252498349,0.0069094011998039224,0.011169268888401867
overextended_up,0.002576506173540932,0.008199537373749325,-0.00295068969078257
overextended_down,0.0016002595657564193,-0.012087758599743937,-0.023756186780784352
corr_QQQ_NVDA_15,-0.008101388602925178,-0.011793870216972103,-0.01482897016061668
